Название,Категория,Популярность,Длительность,Краткое описание,Полное описание
Розовый закат,Восстанавливающие программы,73%,15 минут,"Лёгкие «капли» фортепиано настроят вас на романтичные мысли, а мягкие переливы света позволят мысленно оказаться на побережье океана. Программа проста и логична. На 6-й минуте вас намочит тёплый душ, после чего успокоится, но не надолго. Такой проливной дождь будет повторяться 5 раз с равной частотой и промежутком времени. На 11-й минуте вы испытаете новые прохладные ощущения. Туман покроет и немного охладит ваше тело. Затем душ с туманом будут перекликаться ещё несколько раз. Программа завершится прохладным туманом. Длительность 15 мин., 15 сек.",Медитативная музыка и мягкий свет работают всю программу. На 6-й минуте включается тёплый душ и работает 15 сек. Впоследствии таких циклов ещё 4 на начале каждой минуты. На 11-й минуте включается туман и работает 15 секунд. После этого каждую следующую минуту тёплый дождь и туман работают попеременно. Программа завершается туманом.
Млечный путь,Восстанавливающие программы,73%,3 минуты,"
	 Космическая атмосфера невесомости и плавные переливы освещения заполнят туннель и вы погрузитесь в завораживающий мираж свободного полёта. Помните, что температура в открытом космосе довольно морозная, поэтому вы почувствуете сначала тёпло, а затем прохладу, которые будут балансировать между собой, а также свежий аромат мяты и преимущественно сине-бело-голубое освещение.
","
	 Сначала звук космоса и плавный голубой свет, затем на 10-й секунде 1-й станции включается умеренный тёплый дождь, на него наслаивается умеренный холодный, а потом тёплые боковые. Освещение сине-голубое. На второй станции туман с ароматом «Ледяное море». Освещение сине-голубое. Третья станция - сначала тёплый водопад в течение 12-ти секунд, потом тёплый ливень 1.10-1.40, одновременно с ним, три включения холодных боковых форсунок. В конце станции снова подключается водопад 1.30-1.39. Освещение красно-фиолетовое. На четвёртой станции - лёгкий холодный дождь всё время, а с 1.46 до 2.04 наслаиваются тёплые боковые. Освещение - белое. Пятая станция - туман с ароматом «Ледяное море». Освещение сине-голубое, в завершении - белое.
"
Оазис в пустыне,Восстанавливающие программы,73%,3 минуты,"
	 Программа пропитана арабским колоритом. Здесь преобладает тёплая вода, создающая дуэт с ритмом дарбуки. Закройте глаза и насладитесь теплом в тени финиковой пальмы. Зелёные растения и прохлада воды позволят комфортно отдохнуть, ведь вы в оазисе.
","
	 Сначала плавное включение жёлтого освещения. Затем включается тёплый умеренный дождь 0.08-0.22, потом 0.27-0.33 вместе с тёплыми боковыми. Умеренный холодный дождь 0.18-0.31. Освещение - красное, фиолетовое, жёлто-красное. Вторая станция появляется в освещении белого, потом включается туман с ароматом «Тропика». Освещение меняется на фиолетово-красное. Третья станция подсвечивается плавным белым светом. Включается тёплый ливень 0.44-1.02, затем с 1.04, семь равномерных включений, длиной по 2 секунды, синхронизированных с музыкой. Водопад с 0.44, четыре равномерных включения по 2 секунды, затем с 1.02 непрерывная работа до конца станции. Холодные боковые - четыре равномерных включения по 2 секунды с 1.20 до 1.35, синхронизированных с музыкой. Освещение жёлто-красное, при включении боковых меняется на сине-жёлтое. Четвёртая станция - четыре равномерных включения лёгкого холодного дождя по 2 секунды, синхронизированных с музыкой. На 1.55 включаются тёплые боковые: 32 включения, длиной четверть секунды, синхронно со вспышками жёлтого света, и музыкальным материалом. На пятой станции - туман с ароматом «Тропика» и белым освещением.
"
Книга джунглей,Восстанавливающие программы,72%,2 минуты,"
	Вы погрузитесь в атмосферу диких джунглей. Пение птиц и ароматы экзотических фруктов, вместе с приятным тропический дождем, окутают ваше тело позволят насладиться процессом умиротворения. Но, джунгли не такие безмятежные, как кажется. Крики диких животных вызовут у вас тревогу и бросят в холодный пот. После того, как опасность миновала, можно расслабиться и опять насладиться приятным тропическим дождём.
","
	После нажатия кнопки включается программа. Сверху льется вода, символизируя тропический дождь. Душевая наполняется ароматами экзотических фруктов. Поют птицы, иногда раздаются крики диких животных. Освещение с зеленого меняется на красный, комната наполняется холодным туманом, даруя долгожданную прохладу. Подключаются боковые форсунки, свет мигает зеленым, совсем как тропический лес. В конце программы тропический дождь стихает, слышно пение птиц. Свет плавно выключается.
"
Рассул,Восстанавливающие программы,72%,15 минут,"Расслабляющая программа, которая позволит вам наполниться чистыми мыслями и освободиться от внешних информационных источников. Релаксирующая музыка и плавные переливы нежного света создадут атмосферу покоя. В этой программе нет ничего лишнего. В конце процедуры вы почувствуете мелкие водяные частицы прохладного тумана, которые придадут свежесть и лёгкость вашему телу. Длительность 15 мин., 15 сек.","Всю программу звучит расслабляющая музыка, а помещение наполнено атмосферным мягким светом, плавно сменяющим цветовую палитру. На 14-й минуте включается туман и работает в течение 1 мин.,10 сек. На этом программа завершается."
Безмятежность,Восстанавливающие программы,71%,15 минут,"Помимо классического хаммама, одновременно с паром, сначала вы почувствуете тёплый душ, а затем, через время, прохладный туман. Такой цикл повторится дважды, после чего, вы сможете отдохнуть от воды и пропарить своё тело. Чуть позже, лейка с тёплой водой и прохладный туман позволят снять жар, а затем вновь вы сможете хорошенько прогреться. Программа завершится свежим облаком прохлады. Медитативная музыка и мягкий переливающийся свет добавят гармонии и вы почувствуете расслабление и безмятежность. Длительность 15 мин.","Медитативная музыка и мягкая смена цвета работают всю программу. На 45-й секунде, в течение 15 секунд, включается тёплый дождь. На 2:00 минуте включается холодный туман. На 3-ей минуте конфигурация повторяется, но туман более продолжительный. С 4:30 до 9-й минуты вода никак не участвует в программе. На 9-й минуте тёплый душ и туман работают одновременно в течение 30-ти секунд. Затем туман включается в конце программы на 14:40 и работает до конца."
Времена года,Восстанавливающие программы,71%,2 минуты,"
	 Любое время года прекрасно по своему. Стремление вперёд и смена воды наполнят каждую станцию особенным настроением. От умеренного дождя и массажных боковых форсунок, минуя лёгкий туман с мятным ароматом, вы погрузитесь в жаркий летний ливень, который разбавят прохладные и тёплые массажные струи. Программа завершится осенней свежестью, как и положено циклу календарного года. Всю программу плавные переливы света, сопровождающие каждую станцию. Музыкальное сопровождение - классическое.
","
	 На первой станции тёплый умеренный дождь 16 секунд, затем включается холодный умеренный дождь одновременно с тёплыми боковыми форсунками. Холодный умеренный дождь отключается на 0.23. Плавное включение фиолетового света меняется на синий, затем тухнет и резко меняется на красный, после чего тот плавно переходит в голубой и в завершении сопровождения станции плавно исчезает. На второй станции холодный туман с ароматом «Полярная ночь» в аналогичном мягком сопровождении синего и фиолетового цветов. На третьей станции тёплый ливень с 0.48 по 1.04, далее включается тёплый водопад, затем на 1.20 к нему подключается ливень и холодные боковые форсунки. Осветительная гамма красно-жёлто-зелёная. На четвёртой станции на 1.36 включаются тёплые боковые, далее к ним на 1.48 подключается лёгкий холодный дождь и завершает станцию в одиночестве. Осветительная гамма бело-зелёно-голубая. На пятой станции прохладный туман с ароматом «Полярная ночь» с прежним освещением. Завершает мягко гаснущий синий свет.
"
Просто теплый душ,Восстанавливающие программы,88%,5 минут,"
	 Классика. Если вы хотите просто принять тёплый душ - эта программа для вас. Вы сможете отдохнуть от лишних звуков и световых эффектов. Просто расслабьтесь и грейтесь под тёплым потоком воды.
","
	 Программа без музыкального сопровождения. Всё время работает классический тёплый душ. Подсветка белая. Длительность программы 5 минут.
"
В преддверии Нового года!,Восстанавливающие программы,88%,1 минута,"
	 Только представьте, вы идете с работы по тихой улочке зимним вечером в преддверии Нового года. Проходя мимо своих соседей, слышите поздравления с наступающим праздником. Вы проходите еще немного и видите свой уютно украшенный дом. Эта программа перенесет вас в детство, в те беззаботные времена…
","
	 Холодная вода из форсунок в начале программы представляется как прогулка с друзьями. Вот руки уже заледенели, но ты все не идешь домой, так как хочешь вдоволь нагуляться со своими товарищами перед их отъездом к родственникам на зимние каникулы. Включается ароматизатор и…это же запах елки, которая стоит у вас дома. Мама готовит особые блюда к приближающемуся празднику, папа приходит с работы и начинает ей помогать. Тут они замечают тебя и твой красный нос, в результате чего ты оказываешься уже закутанным во все одеяла дома. Начинает литься приятная-теплая вода, которая оповещает тебя о посиделках на кухне с родителями и кружкой горячего какао, которое только-только сварилось. И вот ты сидишь и гадаешь что же тебе подарят? Твои воспоминания прерывает моросистый дождик из верхней форсунки. Ты выходишь расслабленным из душа и находишься в настолько беззаботном состоянии, что тебя будто вновь волнуют только подарки, стоящие под елкой.
"
Перламутровый рассвет,Восстанавливающие программы,87%,2 минуты,"
	Трепетный водный массаж для снижения стресса и улучшения настроения. Лёгкая воздушная музыка подарит вам отдых и чувство бодрости на весь день.
","
	Включается жёлтая подсветка, звучит приятная приглушённая музыка. Горячий поток дождя на мгновения сменяется прохладой тумана и вновь возвращается, согревая. С новым вступлением в композицию вплетаются водопады. Верхняя лейка наполняет помещение теплом, свет плавно затухает, но затем переливается новыми оттенками, возвращаются водопады. Они вторят мотиву, то мягко вступая вместе с ним, то уступая бризу тумана. Дождь вновь освежает тело, водопады сливаются в новых контрастных потоках. Программа заканчивается, свет гаснет.
"
Прогулка по долине,Восстанавливающие программы,85%,3 минуты,"
	 Хотите прогуляться по зарубежью 70-х? Чеканный бит музыки задаст вам темп от которого не стоит отставать. Если примете чуть в сторону к горам, то поднимайтесь по ним также уверенно как по равнине и вы обязательно окажетесь на высоте.
","
	 В синей подсветке вступает музыкальный трек вместе с освежающим туманом. Далее из лейки включается тёплый водопад, подсветка переливается с синего на фиолетовый, позже к водопаду подключается ещё одна тёплая струя сверху, сопровождающаяся красным светом. Зелёно-красная иллюминация будет подсвечивать пространство в то время как сверху на вас льёт лейка с тёплой водой. Ароматизированный туман сменит комфортное тепло на прохладный водопад. Далее тёплый душ и тёплый водопад в тандеме с красным светом. В завершении - приятный аромат и бодрящий туман в позитивном жёлтом освещении.
"
Цветочный каприз,Восстанавливающие программы,82%,2 минуты,"
	Медитативная, нежная музыка, приглушённый свет и тёплые объятья воды - что может быть лучше? Лёгкий аромат бутонов роз идеально дополнит атмосферу и позволит насладиться послевкусием умиротворения.
","
	Вместе с медитативной музыкой вступают горячие потоки дождя. Туман мягко освежает прохладными каплями в приглушённом персиковом свете. Оттенки переливаются, колеблются вместе с волнами звука. Верхнюю лейку сменяют два горячих водопада и лёгкий холодный бриз. Изящное соло фортепиано сменяет динамичное начало и погружает в атмосферу полного расслабления, сливается с мягким замирающим светом и потоками дождя в туманном облаке прохлады. Музыка подражает падающим каплям воды, и водопады укутывают ароматными потоками. Дождь вновь согревает своим теплом, и программа заканчивается, свет гаснет.
"
Горные пики,Восстанавливающие программы,81%,2 минуты,"
	 Позвольте воде бережно очистить ваши душу и тело, а мягкому вокалу наполнить вас счастьем, спокойствием и уверенностью в безграничности ваших возможностей.
","
	 Звучит расслабляющая музыка, поток воды с верхней лейки смешивается с водопадами, вступающими по очереди в переливах света в насыщенной лиловой палитре. Дождь сменяется прохладным облаком тумана. Свет мягко мерцает, подчёркивая партию ударных. Горячий дождь сплетается с холодным потоком водопада. Вновь возвращается воздушный мотив вокала, и прохладный туман занимает место дождя, водопады окутывают горячей водой. Последний мотив постепенно замирает, замолкают переливы водопадов, исчезает туман и с последним звуком стихает дождь, свет гаснет.
"
Туманные грёзы,Восстанавливающие программы,79%,2 минуты,"
	Расслабляющий и чувственный танец воды для отдыха души и тела. Водные процедуры подарят вам состояние лёгкости, а изящные мотивы гитары окунут в мечтательное настроение.
","
	Включается синяя подсветка, звучит расслабляющая музыка, из верхней лейки льётся поток горячей воды. Цвет переливается в оттенках, подражая динамическим волнам звука. На новой волне два водопада вплетают горячую и холодную воду, окутывают ароматом. Просветление в музыке погружает помещение в приятные оранжевые тона и туманное облако прохлады. Вступает мотив гитары, и горячий водопад вновь низвергает свой поток. Свет вторит инструменту, мягко мерцает жёлтым. Партия затихает, помещение возвращается в переливы спокойного голубого цвета, дождь погружает в тёплые объятья воды. Вступает гитара, появляется туман и горячий поток водопада. Свет подыгрывает мягким голубым переливом на паузах соло инструмента. Окончание музыкальной фразы звучит в дымке тумана и оранжевых тонах. Льётся поток горячей воды водопадов. Свет вступает вместе с музыкой и постепенно затухает, сменяя оттенки. Программа заканчивается бризом тумана, свет гаснет.
"
Фруктовая элегия,Восстанавливающие программы,79%,2 минуты,"
	Почувствуйте единение яркого ритма и мелодии, чтобы погрузиться в атмосферу влажных тропиков и мир наслаждения. Программа позволит вам расслабиться, а приятная музыка зарядит хорошим настроением.
","
	Звучит умиротворяющая музыка, два водопада окутывают горячей водой. Свет мерцает, и вместе с новым музыкальным мотивом верхняя лейка вплетает свой поток, а лёгкий бриз тумана освежает тело. В лазурных переливах света и дымке водных капель, водопады сменяют друг друга, окружая лёгким ароматом. Горячие и прохладные потоки воды гармонично чередуются, поддерживая комфортную температуру. Затем вновь сменяется настроение, и музыка возвращает переливы синих тонов. Льётся горячий поток тропического дождя, оттеняя прохладу тумана. Финальный аккорд завершает программу контрастными потоками водопадов, музыка затихает и свет гаснет.
"
Туманное утро,Восстанавливающие программы,76%,5 минут,"
	Всю программу вас будет обволакивать нежный туман, навевая утреннюю прохладу. Вместе с тем, приятный аромат, погрузит вас в безмятежность. На протяжении трека вы почувствуете два включения тёплого расслабляющего душа. Таинственная фиолетовая подсветка сменится на солнечную жёлтую и успокаивающую зелёную. Программа расслабит и приведёт в порядок ваши мысли.
","
	Сначала туман и фиолетовая подсветка. Туман работает всю программу. Далее включается тёплый душ и работает до 1мин 50сек. На 0мин 40сек подача аромата. Смена подсветки на жёлтый, затем зелёный. Второе включение душа через небольшой перерыв, после чего, он работает практически до конца. Вторая подача аромата на 2мин 10сек
"
Массаж водными струями,Восстанавливающие программы,72%,2 минуты,Зарядись свежей энергией! Каждая клеточка твоего тела почувствует прилив бодрости и сил. Точечный экспресс-массаж разбудит твою кровь и заставит кожу приятно «погудеть».,"Сначала включаются верхние форсунки, затем середина, а потом ноги. После этого, через среднюю форсунку, по пути переключаясь на холодный термостат, вода возвращается к верхним форсункам. Низ, верх, низ, верх. Смена воды на тёплую. Далее порядок работы форсунок повторяется как в начале. Впереди ещё две смены холодной воды поочерёдно с тёплой, затем форсунки дают более короткую подачу воды и меняют тактику на «сверху вниз»."
Город,Восстанавливающие программы,86%,3 минуты,"Кафе, джаз… Разве не романтично? Почувствуйте себя в атмосфере живой музыки и ароматного кофе. Приятный тёплый душ с изысканным ароматом позволит вам немного помечтать и получить по-настоящему эстетическое удовольствие.","Ненавязчивая джазовая музыка в сопровождении мультицветного освещения играет с водой сначала и до конца. В начале включится тёплый водопад, после чего его сменит лёгкий душ. После смены вы почувствуете приятный аромат одновременно с прохладным туманом. Смена водопадов повторится дважды, также как и нежный туманный бриз."
Тропический шторм,Восстанавливающие программы,77%,3 минуты,"
	 Тёплая, расслабляющая программа. Преимущественно вы будете чувствовать тёплый тропический душ и водопад, которые сопровождаются ароматом. Во второй половине вы почувствуете кратковременный холодный туман, который вновь сменится тёплыми струями воды. В качестве аудиосопровождения-пение птиц. Подсветка мягкая. Длительность - 2 мин. 30 сек.
","
	 Первые 15 секунд - тропический дождь с красной подсветкой. Далее подключаются большой водопад и аромат, подсветка меняется на жёлтую. На 1.30 включается туман и работает 6 секунд. Подсветка переливается с красного цвета на зелёный. На 1.36 снова тропический дождь с ароматом и большой водопад.
"
Дикое побережье,Восстанавливающие программы,77%,3 минуты,"
	 Представьте, что вы идёте на яхте, а на расстоянии 30 метров от вас, побережье, где обитают слоны, попугаи и другие экзотические животные. Такой красочный, сочный пейзаж дополняется освещением натуральных тонов, звуками природы, банджо, умеренным прохладным и тёплым дождём с массажными боковыми струями, а затем свежим бризом с тропическим ароматом. Их сменяют тёплые ливень и водопад, перемешиваясь с холодными брызгами океана. Погода стремительно меняется и надо поспешить добраться до марины.
","
	 На первой станции умеренный прохладный дождь, к которому на 9-й секунде подключается тёплый и работает до 0.30. Холодный заканчивается на 0.15, после чего включаются тёплые боковые форсунки и делают четыре коротких равномерных включения. Освещение плавное жёлто-зелёное, которое в конце работы станции выключается фейдером. Вторая станция освещается плавным голубо-синим тоном, после чего включается туман с ароматом «Тропика» и работает с 0.30 до 1.00 На третьей станции тёплые ливень и водопад включаются одновременно, после чего водопад отключается на 1.08, а ливень на 1.18. Холодные боковые форсунки подхватывают на 1.16, далее на 1.22 вновь ливень и водопад. Все три лейки отключаются одновременно на 1.34. Световое сопровождение плавное жёлто-зелёное. На четвёртой станции перекличка холодного лёгкого дождя и тёплых боковых форсунок продолжительностью порядка по 3,5 секунды, после чего, на 3-м включении, боковые продолжают работать, а лёгкий дождь подключается через 3,5 секунды и они работают вместе до конца станции. Освещение фиолетово-жёлтое. Пятая станция заполняется туманом с ароматом «Тропика». Освещение плавное голубо-синее с фейдером в конце.
"
